,Mark,PSPLL_power
2021-04-14 06:41:25.368959,0.0,0.03125
2021-04-14 06:41:25.490181,0.0,0.03125
2021-04-14 06:41:25.601170,0.0,0.03125
2021-04-14 06:41:25.712531,0.0,0.03125
2021-04-14 06:41:25.823490,0.0,0.03125
2021-04-14 06:41:25.935169,0.0,0.03125
2021-04-14 06:41:26.045965,0.0,0.03125
2021-04-14 06:41:26.156735,0.0,0.03125
2021-04-14 06:41:26.267802,0.0,0.03125
2021-04-14 06:41:26.453054,0.0,0.03125
2021-04-14 06:41:26.563434,0.0,0.03125
2021-04-14 06:41:26.674443,0.0,0.03125
2021-04-14 06:41:26.785534,0.0,0.03125
2021-04-14 06:41:26.897216,0.0,0.03125
2021-04-14 06:41:27.008029,0.0,0.03125
2021-04-14 06:41:27.118942,0.0,0.03125
2021-04-14 06:41:27.230258,0.0,0.03125
2021-04-14 06:41:27.341294,0.0,0.03125
2021-04-14 06:41:27.526359,0.0,0.03125
2021-04-14 06:41:27.637259,0.0,0.03125
2021-04-14 06:41:27.748557,0.0,0.03125
2021-04-14 06:41:27.859415,0.0,0.03125
2021-04-14 06:41:27.970563,0.0,0.03125
2021-04-14 06:41:28.081352,0.0,0.03125
2021-04-14 06:41:28.192431,0.0,0.03125
2021-04-14 06:41:28.303611,0.0,0.03125
2021-04-14 06:41:28.415413,0.0,0.03125
2021-04-14 06:41:28.594597,0.0,0.03125
2021-04-14 06:41:28.719976,0.0,0.03125
2021-04-14 06:41:28.843144,0.0,0.03125
2021-04-14 06:41:28.954626,0.0,0.03125
2021-04-14 06:41:29.065909,0.0,0.03125
2021-04-14 06:41:29.177573,0.0,0.03125
2021-04-14 06:41:29.289609,0.0,0.03125
2021-04-14 06:41:29.400533,0.0,0.03125
2021-04-14 06:41:29.511569,0.0,0.03125
2021-04-14 06:41:29.679452,0.0,0.03125
2021-04-14 06:41:29.807189,0.0,0.03125
2021-04-14 06:41:29.918123,0.0,0.03125
2021-04-14 06:41:30.028969,0.0,0.03125
2021-04-14 06:41:30.139907,0.0,0.03125
2021-04-14 06:41:30.250898,0.0,0.03125
2021-04-14 06:41:30.362098,0.0,0.03125
2021-04-14 06:41:30.473120,0.0,0.03125
2021-04-14 06:41:30.584161,0.0,0.03125
2021-04-14 06:41:30.752017,0.0,0.03125
2021-04-14 06:41:30.879088,0.0,0.03125
2021-04-14 06:41:30.990405,0.0,0.03125
2021-04-14 06:41:31.101795,0.0,0.03125
2021-04-14 06:41:31.212675,0.0,0.03125
2021-04-14 06:41:31.324498,0.0,0.03125
2021-04-14 06:41:31.435846,0.0,0.03125
2021-04-14 06:41:31.547236,0.0,0.03125
2021-04-14 06:41:31.658719,0.0,0.03125
2021-04-14 06:41:31.826418,0.0,0.03125
2021-04-14 06:41:31.946348,0.0,0.03125
2021-04-14 06:41:32.063313,0.0,0.03125
2021-04-14 06:41:32.174337,0.0,0.03125
2021-04-14 06:41:32.285556,0.0,0.03125
2021-04-14 06:41:32.396606,0.0,0.03125
2021-04-14 06:41:32.507515,0.0,0.03125
2021-04-14 06:41:32.618555,0.0,0.03125
2021-04-14 06:41:32.729638,0.0,0.03125
2021-04-14 06:41:32.909875,0.0,0.03125
2021-04-14 06:41:33.025197,0.0,0.03125
2021-04-14 06:41:33.136567,0.0,0.03125
2021-04-14 06:41:33.248038,0.0,0.03125
2021-04-14 06:41:33.359799,0.0,0.03125
2021-04-14 06:41:33.470634,0.0,0.03125
2021-04-14 06:41:33.581475,0.0,0.03125
2021-04-14 06:41:33.692217,0.0,0.03125
2021-04-14 06:41:33.803951,0.0,0.03125
2021-04-14 06:41:33.988837,0.0,0.03125
2021-04-14 06:41:34.099128,0.0,0.03125
2021-04-14 06:41:34.210764,0.0,0.03125
2021-04-14 06:41:34.322724,0.0,0.03125
2021-04-14 06:41:34.433985,0.0,0.03125
2021-04-14 06:41:34.544919,0.0,0.03125
2021-04-14 06:41:34.656503,0.0,0.03125
2021-04-14 06:41:34.767669,0.0,0.03125
2021-04-14 06:41:34.879696,0.0,0.03125
2021-04-14 06:41:35.060671,0.0,0.03125
2021-04-14 06:41:35.178630,0.0,0.03125
2021-04-14 06:41:35.290218,0.0,0.03125
2021-04-14 06:41:35.402026,0.0,0.03125
2021-04-14 06:41:35.513430,0.0,0.03125
2021-04-14 06:41:35.625224,0.0,0.03125
2021-04-14 06:41:35.736397,0.0,0.03125
2021-04-14 06:41:35.848129,0.0,0.03125
2021-04-14 06:41:35.959051,0.0,0.03125
2021-04-14 06:41:36.143340,0.0,0.03125
2021-04-14 06:41:36.266868,0.0,0.03125
2021-04-14 06:41:36.378832,0.0,0.03125
2021-04-14 06:41:36.490404,0.0,0.03125
2021-04-14 06:41:36.607113,0.0,0.03125
2021-04-14 06:41:36.717793,0.0,0.03125
2021-04-14 06:41:36.828827,0.0,0.03125
2021-04-14 06:41:36.939500,0.0,0.03125
2021-04-14 06:41:37.050207,0.0,0.03125
2021-04-14 06:41:37.216947,0.0,0.03125
2021-04-14 06:41:37.332238,0.0,0.03125
2021-04-14 06:41:37.443360,0.0,0.03125
2021-04-14 06:41:37.554221,0.0,0.03125
2021-04-14 06:41:37.665388,0.0,0.03125
2021-04-14 06:41:37.776405,0.0,0.03125
2021-04-14 06:41:37.888270,0.0,0.03125
2021-04-14 06:41:38.000066,0.0,0.03125
2021-04-14 06:41:38.111070,0.0,0.03125
2021-04-14 06:41:38.290604,0.0,0.03125
2021-04-14 06:41:38.418039,0.0,0.03125
2021-04-14 06:41:38.529077,0.0,0.03125
2021-04-14 06:41:38.641453,0.0,0.03125
2021-04-14 06:41:38.754857,0.0,0.03125
2021-04-14 06:41:38.869080,0.0,0.03125
2021-04-14 06:41:38.983135,0.0,0.03125
2021-04-14 06:41:39.096825,0.0,0.03125
2021-04-14 06:41:39.208821,0.0,0.03125
2021-04-14 06:41:39.376838,0.0,0.03125
2021-04-14 06:41:39.505518,0.0,0.03125
2021-04-14 06:41:39.623797,0.0,0.03125
2021-04-14 06:41:39.736591,0.0,0.03125
2021-04-14 06:41:39.848281,0.0,0.03125
2021-04-14 06:41:39.961077,0.0,0.03125
2021-04-14 06:41:40.074218,0.0,0.03125
2021-04-14 06:41:40.187929,0.0,0.03125
2021-04-14 06:41:40.301605,0.0,0.03125
2021-04-14 06:41:40.470444,0.0,0.03125
2021-04-14 06:41:40.585911,0.0,0.03125
2021-04-14 06:41:40.697597,0.0,0.03125
