,Mark,PSINT_FP_power
2021-04-14 06:41:38.629387,0.0,0.59375
2021-04-14 06:41:38.741679,0.0,0.59375
2021-04-14 06:41:38.855163,0.0,0.59375
2021-04-14 06:41:38.969408,0.0,0.59375
2021-04-14 06:41:39.083336,0.0,0.59375
2021-04-14 06:41:39.197046,0.0,0.59375
2021-04-14 06:41:39.377627,0.0,0.59375
2021-04-14 06:41:39.499497,0.0,0.59375
2021-04-14 06:41:39.612116,0.0,0.59375
2021-04-14 06:41:39.724093,0.0,0.59375
2021-04-14 06:41:39.836737,0.0,0.59375
2021-04-14 06:41:39.948485,0.0,0.59375
2021-04-14 06:41:40.061243,0.0,0.59375
2021-04-14 06:41:40.174415,0.0,0.59375
2021-04-14 06:41:40.288235,0.0,0.59375
2021-04-14 06:41:40.469755,0.0,0.59375
2021-04-14 06:41:40.597018,0.0,0.59375
2021-04-14 06:41:40.708500,0.0,0.59375
2021-04-14 06:41:40.823865,0.0,0.59375
2021-04-14 06:41:40.935641,0.0,0.59375
2021-04-14 06:41:41.046542,0.0,0.59375
2021-04-14 06:41:41.158610,0.0,0.59375
2021-04-14 06:41:41.269507,0.0,0.59375
2021-04-14 06:41:41.380326,0.0,0.59375
2021-04-14 06:41:41.547968,0.0,0.59375
2021-04-14 06:41:41.669714,0.0,0.59375
2021-04-14 06:41:41.787419,0.0,0.59375
2021-04-14 06:41:41.899240,0.0,0.59375
2021-04-14 06:41:42.010941,0.0,0.59375
2021-04-14 06:41:42.122552,0.0,0.59375
2021-04-14 06:41:42.233669,0.0,0.59375
2021-04-14 06:41:42.345479,0.0,0.59375
2021-04-14 06:41:42.457024,0.0,0.59375
2021-04-14 06:41:42.636530,0.0,0.59375
2021-04-14 06:41:42.752287,0.0,0.59375
2021-04-14 06:41:42.864099,0.0,0.59375
2021-04-14 06:41:42.975079,0.0,0.59375
2021-04-14 06:41:43.086801,0.0,0.59375
2021-04-14 06:41:43.198589,0.0,0.59375
2021-04-14 06:41:43.309716,0.0,0.59375
2021-04-14 06:41:43.421472,0.0,0.59375
2021-04-14 06:41:43.532983,0.0,0.59375
2021-04-14 06:41:43.712846,0.0,0.59375
2021-04-14 06:41:43.830529,0.0,0.59375
2021-04-14 06:41:43.942271,0.0,0.59375
2021-04-14 06:41:44.053149,0.0,0.59375
2021-04-14 06:41:44.164197,0.0,0.59375
2021-04-14 06:41:44.275898,0.0,0.59375
2021-04-14 06:41:44.387688,0.0,0.59375
2021-04-14 06:41:44.499310,0.0,0.59375
2021-04-14 06:41:44.610412,0.0,0.59375
2021-04-14 06:41:44.790716,0.0,0.59375
2021-04-14 06:41:44.916196,0.0,0.59375
2021-04-14 06:41:45.039236,0.0,0.59375
2021-04-14 06:41:45.150947,0.0,0.59375
2021-04-14 06:41:45.263037,0.0,0.59375
2021-04-14 06:41:45.374857,0.0,0.59375
2021-04-14 06:41:45.486454,0.0,0.59375
2021-04-14 06:41:45.597711,0.0,0.59375
2021-04-14 06:41:45.709531,0.0,0.59375
2021-04-14 06:41:45.877507,0.0,0.59375
2021-04-14 06:41:46.004618,0.0,0.59375
2021-04-14 06:41:46.116369,0.0,0.59375
2021-04-14 06:41:46.228332,0.0,0.59375
2021-04-14 06:41:46.341224,0.0,0.59375
2021-04-14 06:41:46.452059,0.0,0.59375
2021-04-14 06:41:46.562965,0.0,0.59375
2021-04-14 06:41:46.674216,0.0,0.59375
2021-04-14 06:41:46.785931,0.0,0.59375
2021-04-14 06:41:46.954471,0.0,0.59375
2021-04-14 06:41:47.071324,0.0,0.59375
2021-04-14 06:41:47.182879,0.0,0.59375
2021-04-14 06:41:47.294719,0.0,0.59375
2021-04-14 06:41:47.406466,0.0,0.59375
2021-04-14 06:41:47.517802,0.0,0.59375
2021-04-14 06:41:47.628925,0.0,0.59375
2021-04-14 06:41:47.740517,0.0,0.59375
2021-04-14 06:41:47.852392,0.0,0.59375
2021-04-14 06:41:48.032802,0.0,0.59375
2021-04-14 06:41:48.148195,0.0,0.59375
2021-04-14 06:41:48.259438,0.0,0.59375
2021-04-14 06:41:48.371423,0.0,0.59375
2021-04-14 06:41:48.483338,0.0,0.59375
2021-04-14 06:41:48.594811,0.0,0.59375
2021-04-14 06:41:48.706797,0.0,0.59375
2021-04-14 06:41:48.818433,0.0,0.59375
2021-04-14 06:41:48.930230,0.0,0.59375
2021-04-14 06:41:49.109743,0.0,0.59375
2021-04-14 06:41:49.235487,0.0,0.59375
2021-04-14 06:41:49.360968,0.0,0.59375
2021-04-14 06:41:49.471871,0.0,0.59375
2021-04-14 06:41:49.583526,0.0,0.59375
2021-04-14 06:41:49.694903,0.0,0.59375
2021-04-14 06:41:49.806780,0.0,0.59375
2021-04-14 06:41:49.918403,0.0,0.59375
2021-04-14 06:41:50.030071,0.0,0.59375
2021-04-14 06:41:50.197922,0.0,0.59375
2021-04-14 06:41:50.315036,0.0,0.59375
2021-04-14 06:41:50.427745,0.0,0.59375
2021-04-14 06:41:50.539102,0.0,0.59375
2021-04-14 06:41:50.650898,0.0,0.59375
2021-04-14 06:41:50.762287,0.0,0.59375
2021-04-14 06:41:50.874456,0.0,0.59375
2021-04-14 06:41:50.985809,0.0,0.59375
2021-04-14 06:41:51.097787,0.0,0.59375
2021-04-14 06:41:51.277591,0.0,0.625
2021-04-14 06:41:51.407452,0.0,0.625
2021-04-14 06:41:51.519599,0.0,0.625
2021-04-14 06:41:51.630827,0.0,0.625
2021-04-14 06:41:51.744585,0.0,0.625
2021-04-14 06:41:51.856555,0.0,0.625
2021-04-14 06:41:51.967812,0.0,0.625
2021-04-14 06:41:52.079734,0.0,0.625
2021-04-14 06:41:52.191547,0.0,0.625
2021-04-14 06:41:52.359550,0.0,0.59375
2021-04-14 06:41:52.488184,0.0,0.59375
2021-04-14 06:41:52.600363,0.0,0.59375
2021-04-14 06:41:52.711516,0.0,0.59375
2021-04-14 06:41:52.823357,0.0,0.59375
2021-04-14 06:41:52.935171,0.0,0.59375
2021-04-14 06:41:53.046878,0.0,0.59375
2021-04-14 06:41:53.157898,0.0,0.59375
2021-04-14 06:41:53.269982,0.0,0.59375
2021-04-14 06:41:53.437863,0.0,0.59375
2021-04-14 06:41:53.564266,0.0,0.59375
2021-04-14 06:41:53.685421,0.0,0.59375
2021-04-14 06:41:53.808853,0.0,0.59375
2021-04-14 06:41:53.920576,0.0,0.59375
2021-04-14 06:41:54.032200,0.0,0.59375
2021-04-14 06:41:54.143265,0.0,0.59375
2021-04-14 06:41:54.256372,0.0,0.59375
2021-04-14 06:41:54.368538,0.0,0.59375
2021-04-14 06:41:54.537156,0.0,0.59375
2021-04-14 06:41:54.666325,0.0,0.59375
