,Mark,PSINT_FP_power
2021-03-17 06:08:13.757280,0.0,0.59375
2021-03-17 06:08:23.855893,0.0,0.59375
2021-03-17 06:08:33.949905,0.0,0.59375
2021-03-17 06:08:44.050977,0.0,0.59375
2021-03-17 06:08:54.137493,0.0,0.59375
2021-03-17 06:09:04.236512,0.0,0.59375
2021-03-17 06:09:14.330277,0.0,0.75
2021-03-17 06:09:24.420007,0.0,0.59375
2021-03-17 06:09:34.513106,0.0,0.59375
2021-03-17 06:09:44.606047,0.0,0.59375
2021-03-17 06:09:54.700113,0.0,0.59375
2021-03-17 06:10:04.784230,0.0,0.59375
2021-03-17 06:10:14.872279,0.0,0.59375
2021-03-17 06:10:24.971577,0.0,0.59375
2021-03-17 06:10:35.065449,0.0,0.59375
2021-03-17 06:10:45.158807,0.0,0.59375
2021-03-17 06:10:55.252752,0.0,0.59375
2021-03-17 06:11:05.351076,0.0,0.59375
2021-03-17 06:11:15.445024,0.0,0.59375
2021-03-17 06:11:25.545225,0.0,0.59375
2021-03-17 06:11:35.639917,0.0,0.59375
2021-03-17 06:11:45.729753,0.0,0.59375
2021-03-17 06:11:55.823858,0.0,0.59375
2021-03-17 06:12:05.923735,0.0,0.59375
2021-03-17 06:12:16.012092,0.0,0.59375
2021-03-17 06:12:26.104223,0.0,0.59375
2021-03-17 06:12:36.203348,0.0,0.59375
2021-03-17 06:12:46.296288,0.0,0.59375
2021-03-17 06:12:56.390227,0.0,0.59375
2021-03-17 06:13:06.484217,0.0,0.59375
2021-03-17 06:13:16.583528,0.0,0.59375
2021-03-17 06:13:26.676886,0.0,0.59375
2021-03-17 06:13:36.771558,0.0,0.59375
2021-03-17 06:13:46.869941,0.0,0.59375
2021-03-17 06:13:56.964084,0.0,0.59375
2021-03-17 06:14:07.064528,0.0,0.59375
2021-03-17 06:14:17.153121,0.0,0.59375
2021-03-17 06:14:27.247948,0.0,0.59375
2021-03-17 06:14:37.352151,0.0,0.59375
2021-03-17 06:14:47.446139,0.0,0.59375
2021-03-17 06:14:57.538079,0.0,0.59375
2021-03-17 06:15:07.636638,0.0,0.59375
2021-03-17 06:15:17.720204,0.0,0.59375
2021-03-17 06:15:27.818128,0.0,0.59375
2021-03-17 06:15:37.911237,0.0,0.71875
2021-03-17 06:15:48.007968,0.0,0.78125
2021-03-17 06:15:58.098112,0.0,0.59375
2021-03-17 06:16:08.194085,0.0,0.59375
2021-03-17 06:16:18.288275,0.0,0.59375
2021-03-17 06:16:28.376533,0.0,0.59375
2021-03-17 06:16:38.476105,0.0,0.59375
2021-03-17 06:16:48.570198,0.0,0.59375
2021-03-17 06:16:58.664315,0.0,0.59375
2021-03-17 06:17:08.758297,0.0,0.59375
2021-03-17 06:17:18.844939,0.0,0.59375
2021-03-17 06:17:28.938838,0.0,0.59375
2021-03-17 06:17:39.032158,0.0,0.59375
2021-03-17 06:17:49.124207,0.0,0.59375
2021-03-17 06:17:59.222798,0.0,0.59375
2021-03-17 06:18:09.316705,0.0,0.59375
